科目,年級,題號,題目,A,B,C,D,解答
國語,1,1,請找出錯字：「今天天氣真豪」,豪(好),真,氣,天,A
國語,1,2,請找出錯字：「我想去公園丸」,想,丸(玩),園,公,B
國語,1,3,請找出錯字：「我的小苟很可愛」,苟(狗),很,愛,可,A
國語,1,4,請找出錯字：「他是一位好老師」,師,是,沒有錯字,他,C
國語,1,5,請找出錯字：「妹妹喜歡吃平果」,妹,平(蘋),歡,喜,B
國語,1,6,「木」加上「口」是什麼字？,林,呆,杏,休,C
國語,1,7,「日」加上「月」是什麼字？,旦,明,星,早,B
國語,1,8,請找出錯字：「哥哥在看書本」,沒有錯字,本,哥,看,A
國語,1,9,請找出錯字：「天空的雲很白」,空,天,白,沒有錯字,D
國語,1,10,請找出錯字：「我愛我的家挺」,我,家,挺(庭),愛,C
國語,2,1,量詞測驗：一(  )筆。,枝,本,把,張,A
國語,2,2,量詞測驗：一(  )牛。,張,匹,頭,隻,C
國語,2,3,量詞測驗：一(  )狗。,頭,匹,隻,張,C
國語,2,4,量詞測驗：一(  )紙。,把,本,張,枝,C
國語,2,5,量詞測驗：一(  )樹。,顆,棵,枝,把,B
國語,2,6,反義詞：大的相反是？,少,中,小,多,C
國語,2,7,反義詞：高的相反是？,瘦,長,胖,低/矮,D
國語,2,8,反義詞：長的相反是？,短,高,低,寬,A
國語,2,9,反義詞：多的相反是？,大,無,小,少,D
國語,2,10,反義詞：美的相反是？,好,惡,壞,醜,D
國語,3,1,「人山人海」是形容？,風景很美,山很高,人非常多,海很大,C
國語,3,2,「七上八下」是形容？,心情不安,樓層很高,動作很快,數字很大,A
國語,3,3,「五顏六色」是形容？,色彩繽紛,形狀很怪,顏色很少,數字很多,A
國語,3,4,「一石二鳥」是形容？,用石頭打鳥,石頭很多,鳥很多,做一件事達到兩個目的,D
國語,3,5,「半途而廢」是形容？,中途放棄,走到一半,道路損壞,做完事情,A
國語,3,6,選出正確的字音：「銀行」的「行」,ㄒㄧㄥˊ,ㄏㄤˊ,ㄒㄧㄥˋ,ㄏㄤˋ,B
國語,3,7,選出正確的字音：「快樂」的「樂」,ㄌㄜˋ,ㄩㄝˋ,ㄧㄠˋ,ㄌㄠˋ,A
國語,3,8,選出正確的字音：「音樂」的「樂」,ㄩㄝˋ,ㄌㄜˋ,ㄧㄠˋ,ㄌㄠˋ,A
國語,3,9,選出正確的字音：「睡覺」的「覺」,ㄐㄩㄝˊ,ㄐㄧㄠˋ,ㄐㄩㄝˇ,ㄐㄧㄠˇ,B
國語,3,10,選出正確的字音：「覺得」的「覺」,ㄐㄩㄝˊ,ㄐㄧㄠˋ,ㄐㄩㄝˇ,ㄐㄧㄠˇ,A
國語,4,1,這句話哪裡有語病？「他今天很高興地開心地笑了。」,沒有語病,主語缺失,語意重複,詞不達意,C
國語,4,2,這句話哪裡有語病？「我把功課寫完了，所以老師誇獎我。」,主語缺失,沒有語病,因果顛倒,語意重複,B
國語,4,3,這句話是哪一種修辭？「星星在天上對我眨眼睛。」,擬人,譬喻,誇飾,排比,A
國語,4,4,這句話是哪一種修辭？「他的脾氣像牛一樣倔強。」,譬喻,擬人,誇飾,排比,A
國語,4,5,這句話是哪一種修辭？「教室裡安靜得連一根針掉在地上的聲音都聽得見。」,譬喻,排比,誇飾,擬人,C
國語,4,6,「畫蛇添足」的故事告訴我們什麼道理？,多此一舉,不能添油加醋,畫畫要認真,蛇有腳,A
國語,4,7,「守株待兔」的故事告訴我們什麼道理？,要愛護小動物,不可不勞而獲,種樹很重要,兔子會自己撞樹,B
國語,4,8,「掩耳盜鈴」的故事告訴我們什麼道理？,鈴鐺很吵,自欺欺人,耳朵聽不見,偷東西不好,B
國語,4,9,「亡羊補牢」的故事告訴我們什麼道理？,羊會逃跑,及時補救,要多養羊,籬笆很堅固,B
國語,4,10,「井底之蛙」的故事告訴我們什麼道理？,天空很小,青蛙住在井裡,井水很冷,見識淺薄,D
國語,5,1,「白日依山盡，黃河入海流」的作者是？,王之渙,孟浩然,李白,杜甫,A
國語,5,2,「床前明月光，疑是地上霜」的作者是？,王之渙,李白,白居易,杜甫,B
國語,5,3,「春眠不覺曉，處處聞啼鳥」的作者是？,杜甫,王維,孟浩然,李白,C
國語,5,4,「少小離家老大回，鄉音無改鬢毛衰」的作者是？,白居易,杜甫,李白,賀知章,D
國語,5,5,「誰言寸草心，報得三春暉」的作者是？,李白,孟郊,杜甫,王維,B
國語,5,6,下列哪個成語的意思與「破釜沉舟」相近？,知難而退,背水一戰,半途而廢,順其自然,B
國語,5,7,下列哪個成語的意思與「朝三暮四」相近？,堅忍不拔,從一而終,反覆無常,專心一志,C
國語,5,8,下列哪個成語的意思與「杞人憂天」相近？,心安理得,庸人自擾,未雨綢繆,高瞻遠矚,B
國語,5,9,下列哪個成語的意思與「望梅止渴」相近？,畫餅充飢,眼見為憑,心想事成,實事求是,A
國語,5,10,下列哪個成語的意思與「刻舟求劍」相近？,與時俱進,隨機應變,見風轉舵,食古不化,D
國語,6,1,「孔子」是古代哪一個學派的創始人？,法家,道家,儒家,墨家,C
國語,6,2,「老子」是古代哪一個學派的創始人？,法家,儒家,墨家,道家,D
國語,6,3,被稱為「詩仙」的唐代詩人是誰？,蘇軾,杜甫,白居易,李白,D
國語,6,4,被稱為「詩聖」的唐代詩人是誰？,杜甫,白居易,李白,王維,A
國語,6,5,《三國演義》的作者是誰？,羅貫中,曹雪芹,吳承恩,施耐庵,A
國語,6,6,下列哪一個是不符合邏輯的句子？,雖然天下雨，我還是出去了。,因為天下雨，所以我出去了。,如果天下雨，我就不出去。,因為天下雨，所以我沒出去。,B
國語,6,7,下列哪一個是遞進複句？,他不但聰明，而且很用功。,他不是聰明，就是用功。,因為他聰明，所以很用功。,雖然他聰明，但是不用功。,A
國語,6,8,下列哪一個是假設複句？,因為明天下雨，我們不去郊遊。,如果明天下雨，我們就不去郊遊。,明天下雨，我們要去郊遊。,即使明天下雨，我們也要去郊遊。,B
國語,6,9,下列哪個標點符號使用正確？,他說(你好嗎),他說；你好嗎。,他說：「你好嗎？」,他說、你好嗎？,C
國語,6,10,「飛流直下三千尺，疑是銀河落九天」描寫的是哪個名勝？,黃河,長江,太湖,廬山瀑布,D
